player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot,club_name,market_value_eur,match_id,match_date,stadium,city,opponent_team,tournament_stage,match_result,goals_team,goals_opponent,minutes_played,goals,assists,shots,shots_on_target,expected_goals_xg,expected_assists_xa,key_passes,successful_passes,total_passes,pass_accuracy,dribbles_attempted,successful_dribbles,crosses,successful_crosses,tackles,interceptions,clearances,blocks,aerial_duels_won,aerial_duels_lost,recoveries,defensive_actions,fouls_committed,fouls_suffered,yellow_cards,red_cards,offsides,saves,save_percentage,punches,clean_sheet,goals_conceded,penalty_saves,distance_covered_km,sprint_distance_km,top_speed_kmh,accelerations,decelerations,stamina_score,player_rating,performance_score,offensive_contribution,defensive_contribution,possession_impact,pressure_resistance,creativity_score,consistency_score,clutch_performance_score,total_goals_tournament,total_assists_tournament,total_minutes_tournament,player_of_match_awards,tournament_rating
P00001,Omar Kazem,29,Iraq,Iraq,1,GK,192,68,Right,Iraq FC,24000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,86,0,0,0,0,0.0,0.02,1,25,30,84.4,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,33.3,0,0,4,0,6.29,1.11,29.0,6,15,81.3,6.2,68.1,56.0,51.9,56.5,64.5,53.8,80.6,68.4,0,0,164,0,6.2
P00002,Yusuf Salim,20,Iraq,Iraq,2,GK,171,77,Left,Iraq United,23900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,73,0,0,0,0,0.0,0.15,1,34,41,84.1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,100.0,1,0,4,0,7.98,1.28,34.9,10,11,77.1,5.7,63.3,32.5,50.8,66.8,58.4,45.1,83.9,48.5,0,0,171,0,5.9
P00003,Hussein Saeed,28,Iraq,Iraq,3,GK,170,75,Left,Iraq City,38400000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,32,0,0,0,0,0.0,0.11,0,10,12,85.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100.0,1,0,4,0,5.47,2.68,29.0,3,3,86.1,5.5,59.9,48.6,51.8,54.6,81.6,54.8,75.5,66.9,0,0,76,0,5.6
P00004,Hassan Kazem,33,Iraq,Iraq,4,CB,190,79,Right,Iraq Sporting,36100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,89,0,0,1,0,0.05,0.09,0,37,43,87.5,0,0,0,0,3,3,2,0,1,0,6,8,0,1,0,0,0,0,0.0,0,0,0,0,7.88,1.76,28.5,8,11,77.7,5.6,54.3,56.9,75.6,76.2,77.2,34.2,76.4,69.4,0,0,195,0,5.9
P00005,Mohammed Abbas,33,Iraq,Iraq,5,CB,183,64,Right,Iraq Athletic,39200000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.01,0,0,0,76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.08,0.0,0,0,74.6,5.1,52.2,54.8,45.1,61.9,68.8,54.3,82.0,38.0,0,0,32,0,6.2
P00006,Omar Abbas,23,Iraq,Iraq,6,CB,188,66,Right,Iraq City,61800000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,95,0,0,0,0,0.0,0.08,1,58,63,93.6,1,1,0,0,2,1,1,1,1,0,2,5,1,4,0,0,0,0,0.0,0,0,0,0,7.56,2.16,30.1,15,7,81.6,5.8,54.9,74.5,60.8,60.6,58.4,53.6,85.4,71.0,0,0,159,0,6.3
P00007,Haider Salim,29,Iraq,Iraq,7,CB,177,73,Right,Iraq Rovers,43700000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,32,0,0,1,1,0.15,0.1,0,15,17,91.1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,8.39,1.37,30.8,3,2,87.6,5.7,51.7,39.5,73.3,66.8,56.9,66.2,62.4,31.9,0,0,175,0,6.1
P00008,Yusuf Hassan,26,Iraq,Iraq,8,LB,188,69,Right,Iraq Rovers,37000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,18,0,0,0,0,0.0,0.1,0,9,13,72.8,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,5.4,1.81,30.3,0,2,73.6,5.2,55.5,62.8,66.7,64.6,75.5,45.5,75.7,56.2,0,0,127,0,5.5
P00009,Mustafa Ali,28,Iraq,Iraq,9,LB,170,76,Right,Iraq United,4000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.08,0,0,0,74.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2.79,0.0,0.0,0,0,73.9,6.7,67.9,44.7,51.3,58.6,79.3,49.9,75.1,45.9,0,0,26,0,5.8
P00010,Ahmed Salim,20,Iraq,Iraq,10,RB,181,79,Left,Iraq United,7200000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,63,0,0,0,0,0.0,0.11,0,31,39,79.5,0,0,1,1,2,2,1,0,0,1,2,5,1,0,0,0,0,0,0.0,0,0,0,0,7.2,1.95,35.9,10,6,91.6,5.8,52.0,49.0,75.8,74.0,71.1,54.9,70.8,55.6,0,0,163,0,5.8
P00011,Mohammed Mousa,22,Iraq,Iraq,11,RB,185,63,Left,Iraq City,30100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,93,0,0,0,0,0.0,0.1,0,39,52,75.4,0,0,1,0,5,2,0,0,0,1,2,7,1,1,0,0,0,0,0.0,0,0,0,0,9.14,0.7,32.5,16,6,78.0,6.1,60.9,68.8,49.6,50.8,72.2,38.9,74.6,76.6,0,0,196,0,6.1
